ESTADO,MUNICíPIO,VOTOS VALIDOS,VOTOS VALIDOS PERCENTUAL,VOTOS BRANCOS,VOTOS BRANCOS PERCENTUAL,VOTOS NULOS,VOTOS NULOS PERCENTUAL,ABSTENÇÕES,ABSTENÇÕES PERCENTUAL
MA,Tufilândia,4265,99.99,28,0.63,156,3.51,1494,25.14
MA,Tuntum,20712,99.97000000000003,205,0.96,561,2.61,5480,20.33
MA,Turiaçu,20684,99.99,129,0.61,427,2.01,7787,26.83
MA,Turilândia,10681,99.99999999999999,64,0.58,301,2.72,5558,33.47
MA,Tutóia,29129,100.01,374,1.22,971,3.19,8512,21.83
MA,Urbano Santos,18508,100.00000000000001,122,0.63,655,3.40,4565,19.14
MA,Vargem Grande,23066,100.0,166,0.69,871,3.61,7015,22.54
MA,Viana,28873,100.00000000000001,234,0.79,591,1.99,8735,22.73
MA,Vila Nova dos Martírios,6212,100.00000000000001,40,0.63,137,2.14,2224,25.82
MA,Vitória do Mearim,17798,100.0,156,0.85,404,2.20,8388,31.36
MA,Vitorino Freire,17338,100.00000000000001,149,0.83,472,2.63,7306,28.92
MA,Zé Doca,23789,100.01000000000002,181,0.74,580,2.36,7093,22.42
MG,Abadia dos Dourados,4378,99.99999999999999,72,1.56,156,3.39,1100,19.28
MG,Abaeté,13580,100.0,274,1.94,334,2.35,4739,25.04
MG,Abre Campo,8628,99.99999999999999,210,2.30,319,3.48,2302,20.09
MG,Acaiaca,2508,100.0,38,1.43,115,4.32,876,24.77
MG,Açucena,5225,100.0,126,2.25,244,4.36,3004,34.93
MG,Água Boa,7366,100.00000000000001,60,0.77,328,4.23,4098,34.58
MG,Água Comprida,1751,100.01,21,1.16,43,2.37,564,23.71
MG,Aguanil,2943,100.00000000000001,79,2.49,145,4.58,838,20.92
MG,Águas Formosas,10539,100.00999999999999,128,1.15,476,4.27,4756,29.91
MG,Águas Vermelhas,6504,100.02,106,1.53,312,4.51,3375,32.78
MG,Aimorés,13701,100.01,190,1.35,261,1.84,5014,26.16
MG,Aiuruoca,3715,99.99000000000001,60,1.53,157,3.99,1227,23.78
MG,Alagoa,1849,99.99,32,1.66,46,2.39,546,22.08
MG,Albertina,2256,100.0,40,1.70,58,2.46,627,21.03
MG,Além Paraíba,20701,100.00000000000001,304,1.42,456,2.12,6523,23.31
MG,Alfenas,44988,100.0,929,1.98,1081,2.30,14205,23.21
MG,Alfredo Vasconcelos,4585,99.99,101,2.06,210,4.29,878,15.21
MG,Almenara,20825,100.00000000000003,235,1.07,925,4.21,8407,27.66
MG,Alpercata,4391,99.99999999999999,59,1.29,130,2.84,1905,29.38
MG,Alpinópolis,11946,100.00999999999999,177,1.42,271,2.19,3384,21.45
MG,Alterosa,9229,99.99000000000001,182,1.88,240,2.49,2423,20.07
MG,Alto Caparaó,3542,100.00999999999999,37,1.02,52,1.43,671,15.60
MG,Alto Jequitibá,5421,100.01000000000002,73,1.30,148,2.62,1341,19.20
MG,Alto Rio Doce,7128,99.98,132,1.74,288,3.82,2686,26.25
MG,Alvarenga,3316,99.99999999999999,32,0.94,58,1.70,833,19.65
MG,Alvinópolis,9761,100.0,117,1.13,421,4.09,2779,21.25
MG,Alvorada de Minas,2931,99.99,32,1.03,142,4.57,1276,29.13
MG,Amparo do Serra,3438,100.00000000000001,50,1.37,146,4.02,995,21.49
MG,Andradas,22305,100.0,536,2.27,787,3.33,6772,22.28
MG,Andrelândia,6833,99.99,202,2.74,341,4.62,2555,25.73
MG,Angelândia,4428,100.00999999999998,71,1.52,194,4.13,2029,30.18
MG,Antônio Carlos,7254,99.99000000000002,198,2.55,304,3.92,1974,20.29
MG,Antônio Dias,6417,100.00999999999999,96,1.42,244,3.61,2074,23.49
MG,Antônio Prado de Minas,1463,100.01,21,1.38,31,2.05,260,14.65
MG,Araçaí,1883,99.99999999999999,30,1.52,61,3.09,376,16.00
MG,Aracitaba,1915,99.99999999999999,29,1.43,77,3.81,452,18.28
MG,Araçuaí,18049,100.00000000000003,244,1.29,638,3.37,9037,32.31
MG,Araguari,66624,99.98999999999998,851,1.24,1606,2.32,20114,22.55
MG,Arantina,2050,99.99,47,2.14,103,4.68,518,19.06
MG,Araponga,4896,99.99000000000001,149,2.79,304,5.68,1449,21.32
MG,Araporã,4904,100.00000000000001,62,1.22,107,2.11,1340,20.90
MG,Arapuá,2333,99.99999999999999,62,2.50,86,3.47,738,22.93
MG,Araújos,5068,99.99000000000001,132,2.47,136,2.55,1111,17.23
MG,Araxá,59959,100.02,1140,1.81,1803,2.87,16957,21.23
MG,Arceburgo,5529,100.01999999999998,118,2.00,253,4.29,1467,19.91
MG,Arcos,24436,100.0,694,2.67,896,3.44,6194,19.22
MG,Areado,8745,99.99,210,2.28,252,2.74,2553,21.71
MG,Argirita,2239,100.0,33,1.43,46,1.98,613,20.91
MG,Aricanduva,3205,99.99,72,2.08,179,5.18,1396,28.77
MG,Arinos,9278,99.99000000000002,101,1.04,270,2.80,4190,30.28
MG,Astolfo Dutra,8354,99.99999999999999,116,1.34,230,2.64,2096,19.41
MG,Ataléia,7320,99.99000000000001,73,0.95,284,3.70,3657,32.27
MG,Augusto de Lima,2843,100.02,38,1.27,97,3.26,1326,30.81
MG,Baependi,11644,100.0,232,1.90,319,2.62,3292,21.26
MG,Baldim,5327,100.00999999999999,116,2.08,132,2.37,1538,21.62
MG,Bambuí,13777,99.99,254,1.75,447,3.09,4590,24.07
MG,Bandeira,2978,100.00999999999999,43,1.32,221,6.82,1297,28.57
MG,Bandeira do Sul,3963,100.01000000000002,101,2.44,86,2.07,1112,21.13
