codigo_tse,uf,MUNICÍPIO,capital,codigo_ibge,LULA VOTOS,LULA VOTOS PERCENTUAL,BOLSONARO VOTOS,BOLSONARO PERCENTUAL,CIRO VOTOS,CIRO VOTOS PERCENTUAL,TEBET VOTOS,TEBET VOTOS PERCENTUAL,OUTROS VOTOS,OUTROS VOTOS PERCENTUAL,ABSTENÇÕES,ABSTENÇÕES PERCENTUAL,VOTOS BRANCOS,VOTOS BRANCOS PERCENTUAL,VOTOS NULOS,VOTOS NULOS PERCENTUAL
87670,RS,NOVA PETRÓPOLIS,0,4313201,3091,22.17,9419,67.55,429,3.08,753,5.4,1,0.01,2565,15.02,221,1.52,344,2.37
87696,RS,NOVA PRATA,0,4313300,3338,21.67,10810,70.17,349,2.27,717,4.65,2,0.01,2519,13.66,251,1.58,261,1.64
87220,RS,NOVA PÁDUA,0,4313086,206,10.35,1672,83.98,28,1.41,53,2.66,0,0.0,354,14.76,19,0.93,35,1.71
88560,RS,NOVA RAMADA,0,4313334,636,37.74,903,53.59,36,2.14,96,5.7,0,0.0,289,14.31,23,1.33,23,1.33
84751,RS,NOVA ROMA DO SUL,0,4313359,567,22.11,1814,70.75,40,1.56,113,4.41,0,0.0,380,12.41,54,2.01,63,2.35
87246,RS,NOVA SANTA RITA,0,4313375,6538,44.36,7164,48.61,388,2.63,517,3.51,0,0.0,3638,19.3,269,1.77,206,1.35
87262,RS,NOVO BARREIRO,0,4313490,1591,52.3,1333,43.82,56,1.84,48,1.58,0,0.0,456,12.64,61,1.93,50,1.59
88684,RS,NOVO CABRAIS,0,4313391,1214,40.78,1565,52.57,64,2.15,108,3.63,0,0.0,573,15.64,63,2.04,50,1.62
87718,RS,NOVO HAMBURGO,0,4313409,42801,30.69,84976,60.94,3811,2.73,5905,4.23,17,0.01,36244,20.03,2559,1.77,2673,1.85
87289,RS,NOVO MACHADO,0,4313425,941,35.9,1544,58.91,46,1.76,72,2.75,0,0.0,465,14.79,29,1.08,28,1.05
87300,RS,NOVO TIRADENTES,0,4313441,799,53.13,574,38.16,45,2.99,77,5.12,0,0.0,299,16.19,25,1.61,19,1.23
89320,RS,NOVO XINGU,0,4313466,617,47.46,558,42.92,65,5.0,52,4.0,0,0.0,255,16.07,24,1.8,8,0.6
87556,RS,NÃO-ME-TOQUE,0,4312658,3489,32.06,6727,61.82,175,1.61,392,3.6,0,0.0,1948,14.85,163,1.46,127,1.14
87734,RS,OSÓRIO,0,4313508,13015,46.19,12300,43.65,1184,4.2,1406,4.99,2,0.01,7890,21.22,577,1.97,538,1.84
87750,RS,PAIM FILHO,0,4313607,1521,48.36,1537,48.87,17,0.54,53,1.69,0,0.0,601,15.68,42,1.3,44,1.36
89672,RS,PALMARES DO SUL,0,4313656,3445,43.55,3658,46.25,280,3.54,473,5.98,0,0.0,2697,24.84,122,1.5,130,1.59
87777,RS,PALMEIRA DAS MISSÕES,0,4313706,9066,46.92,9062,46.9,616,3.19,461,2.39,1,0.01,4137,17.24,289,1.46,249,1.25
87793,RS,PALMITINHO,0,4313805,2701,54.5,1883,37.99,139,2.8,201,4.06,0,0.0,814,13.77,74,1.46,68,1.33
87815,RS,PANAMBI,0,4313904,7730,29.96,16366,63.44,619,2.4,881,3.41,0,0.0,5294,16.65,377,1.42,331,1.25
84980,RS,PANTANO GRANDE,0,4313953,3814,58.86,2225,34.34,115,1.77,287,4.43,0,0.0,1566,19.0,106,1.59,91,1.36
87831,RS,PARAÍ,0,4314001,1133,22.69,3410,68.28,62,1.24,325,6.51,0,0.0,911,14.89,136,2.61,77,1.48
85987,RS,PARAÍSO DO SUL,0,4314027,1696,38.26,2371,53.49,119,2.68,210,4.74,0,0.0,735,13.8,96,2.09,63,1.37
87327,RS,PARECI NOVO,0,4314035,649,23.39,1886,67.96,68,2.45,149,5.37,0,0.0,437,13.24,46,1.61,43,1.5
98256,RS,PAROBÉ,0,4314050,11353,36.34,17795,56.96,832,2.66,987,3.16,2,0.01,6895,17.46,603,1.85,752,2.31
88889,RS,PASSA SETE,0,4314068,1524,50.2,1286,42.36,83,2.73,116,3.82,0,0.0,596,15.86,89,2.82,38,1.2
87343,RS,PASSO DO SOBRADO,0,4314076,1907,45.33,2052,48.78,107,2.54,116,2.76,0,0.0,598,12.06,91,2.09,63,1.44
87858,RS,PASSO FUNDO,0,4314100,49826,42.32,58099,49.35,3237,2.75,5280,4.48,14,0.01,29212,19.42,1964,1.62,1469,1.21
89346,RS,PAULO BENTO,0,4314134,564,31.77,1050,59.15,28,1.58,121,6.82,0,0.0,220,10.72,30,1.64,27,1.47
85146,RS,PAVERAMA,0,4314159,1895,40.32,2526,53.74,78,1.66,176,3.74,0,0.0,959,16.4,82,1.68,108,2.21
89567,RS,PEDRAS ALTAS,0,4314175,1006,65.54,418,27.23,35,2.28,73,4.76,0,0.0,436,21.8,16,1.02,13,0.83
87874,RS,PEDRO OSÓRIO,0,4314209,3334,63.65,1415,27.01,167,3.19,282,5.38,0,0.0,1542,22.14,98,1.8,86,1.59
87890,RS,PEJUÇARA,0,4314308,1008,39.42,1412,55.22,35,1.37,87,3.4,0,0.0,470,15.21,34,1.3,30,1.14
87912,RS,PELOTAS,0,4314407,100306,51.82,70445,36.4,7136,3.69,13134,6.79,24,0.01,45798,18.42,4247,2.09,5088,2.51
87360,RS,PICADA CAFÉ,0,4314423,985,26.95,2253,61.64,112,3.06,229,6.27,0,0.0,650,14.57,62,1.63,93,2.44
85340,RS,PINHAL,0,4314456,783,40.28,933,47.99,68,3.5,154,7.92,0,0.0,321,13.87,21,1.06,29,1.45
89362,RS,PINHAL DA SERRA,0,4314464,773,41.97,901,48.91,32,1.74,127,6.89,0,0.0,565,22.87,46,2.42,17,0.89
87386,RS,PINHAL GRANDE,0,4314472,1477,51.99,1123,39.53,60,2.11,168,5.91,0,0.0,660,18.36,57,1.94,36,1.23
87408,RS,PINHEIRINHO DO VALE,0,4314498,1439,47.18,1416,46.43,70,2.3,103,3.38,0,0.0,524,14.29,46,1.47,46,1.46
87939,RS,PINHEIRO MACHADO,0,4314506,4610,63.55,1897,26.15,283,3.9,391,5.39,0,0.0,2465,24.34,218,2.85,191,2.49
89540,RS,PINTO BANDEIRA,0,4314548,332,16.9,1486,75.62,50,2.54,74,3.77,0,0.0,366,15.22,28,1.37,45,2.21
84778,RS,PIRAPÓ,0,4314555,950,57.26,552,33.27,28,1.69,125,7.53,0,0.0,573,25.08,23,1.35,30,1.75
87955,RS,PIRATINI,0,4314605,6911,60.86,3443,30.32,318,2.8,620,5.46,1,0.01,2887,19.53,336,2.82,204,1.72
87971,RS,PLANALTO,0,4314704,2806,45.27,3066,49.46,152,2.45,142,2.29,0,0.0,1574,19.63,134,2.08,113,1.75
87440,RS,PONTE PRETA,0,4314787,464,30.19,891,57.97,24,1.56,143,9.3,0,0.0,205,11.49,27,1.71,15,0.95
87424,RS,PONTÃO,0,4314779,1367,49.58,1258,45.63,49,1.78,69,2.5,0,0.0,496,14.94,39,1.38,28,0.99
88013,RS,PORTO ALEGRE,1,4314902,412553,49.83,323857,39.11,32531,3.93,45455,5.49,163,0.02,248383,22.48,13601,1.59,14743,1.72
88030,RS,PORTO LUCENA,0,4315008,1452,46.11,1435,45.57,108,3.43,132,4.19,0,0.0,695,17.68,52,1.61,34,1.05
87467,RS,PORTO MAUÁ,0,4315057,644,35.23,1086,59.41,32,1.75,51,2.79,0,0.0,369,16.42,32,1.7,18,0.96
87483,RS,PORTO VERA CRUZ,0,4315073,632,46.03,661,48.14,28,2.04,47,3.42,0,0.0,282,16.67,14,0.99,23,1.63
88056,RS,PORTO XAVIER,0,4315107,3051,48.28,2969,46.99,106,1.68,163,2.58,0,0.0,1200,15.54,101,1.55,102,1.56
87998,RS,PORTÃO,0,4314803,7662,38.3,10859,54.29,499,2.49,776,3.88,2,0.01,4521,17.81,402,1.92,465,2.23
85421,RS,POUSO NOVO,0,4315131,593,43.48,698,51.17,30,2.2,38,2.79,0,0.0,228,13.98,21,1.5,18,1.28
86126,RS,POÇO DAS ANTAS,0,4314753,445,27.17,989,60.38,51,3.11,131,8.0,0,0.0,299,14.98,33,1.95,26,1.53
87505,RS,PRESIDENTE LUCENA,0,4315149,482,22.28,1470,67.96,79,3.65,108,4.99,0,0.0,247,9.8,37,1.63,73,3.21
84760,RS,PROGRESSO,0,4315156,1966,46.75,1943,46.21,82,1.95,182,4.33,0,0.0,607,12.3,59,1.37,62,1.43
85405,RS,PROTÁSIO ALVES,0,4315172,280,17.9,1146,73.27,38,2.43,86,5.5,0,0.0,237,12.61,50,3.04,28,1.71
88072,RS,PUTINGA,0,4315206,613,21.18,2083,71.98,54,1.87,132,4.56,0,0.0,867,22.36,74,2.46,43,1.43
88099,RS,QUARAÍ,0,4315305,6813,51.19,5644,42.41,202,1.52,585,4.4,1,0.01,4010,22.68,214,1.57,148,1.08
89389,RS,QUATRO IRMÃOS,0,4315313,523,38.26,775,56.69,28,2.05,32,2.34,0,0.0,226,13.82,18,1.28,24,1.7
87521,RS,QUEVEDOS,0,4315321,985,53.77,710,38.76,16,0.87,114,6.22,0,0.0,432,18.44,45,2.35,34,1.78
84875,RS,QUINZE DE NOVEMBRO,0,4315354,890,29.48,1848,61.21,61,2.02,191,6.33,0,0.0,523,14.49,28,0.9,40,1.3
88110,RS,REDENTORA,0,4315404,3128,61.84,1614,31.91,82,1.62,222,4.39,0,0.0,1578,23.42,59,1.15,43,0.83
85766,RS,RELVADO,0,4315453,425,26.73,1017,63.96,43,2.7,84,5.28,0,0.0,396,19.41,22,1.33,32,1.95
88137,RS,RESTINGA SÊCA,0,4315503,4200,42.27,4770,48.0,178,1.79,726,7.31,0,0.0,2123,17.11,213,2.07,138,1.34
87548,RS,RIO DOS ÍNDIOS,0,4315552,1292,57.07,855,37.77,60,2.65,49,2.16,0,0.0,557,19.13,62,2.63,28,1.19
88153,RS,RIO GRANDE,0,4315602,68808,60.74,33485,29.56,3776,3.33,6124,5.41,14,0.01,37848,24.23,2345,1.98,2694,2.28
88170,RS,RIO PARDO,0,4315701,12787,57.32,7837,35.13,414,1.86,1117,5.01,1,0.0,6633,22.26,514,2.22,342,1.48
85740,RS,RIOZINHO,0,4315750,1446,44.13,1549,47.27,106,3.23,133,4.06,0,0.0,588,14.64,73,2.12,78,2.28
