ESTADO,MUNICíPIO,LULA VOTOS,LULA VOTOS PERCENTUAL,BOLSONARO VOTOS,BOLSONARO PERCENTUAL,CIRO VOTOS,CIRO VOTOS PERCENTUAL,TEBET VOTOS,TEBET VOTOS PERCENTUAL,OUTROS VOTOS,OUTROS VOTOS PERCENTUAL,ABSTENÇÕES,ABSTENÇÕES PERCENTUAL,VOTOS BRANCOS,VOTOS BRANCOS PERCENTUAL,VOTOS NULOS,VOTOS NULOS PERCENTUAL
RS,São Martinho da Serra,927,39.13,1275,53.82,39,1.65,109,4.6,0,0.0,622,20.21,43,1.75,44,1.79
RS,São Miguel das Missões,2488,52.8,1986,42.15,97,2.06,128,2.72,0,0.0,992,17.04,76,1.57,42,0.87
RS,São Nicolau,1884,58.6,1112,34.59,60,1.87,144,4.48,0,0.0,737,18.02,69,2.06,68,2.03
RS,São Paulo das Missões,1880,43.77,2061,47.99,104,2.42,210,4.89,0,0.0,816,15.62,55,1.25,57,1.29
RS,São Pedro da Serra,655,24.83,1702,64.52,51,1.93,178,6.75,0,0.0,356,11.39,60,2.17,71,2.56
RS,São Pedro das Missões,667,52.27,566,44.36,16,1.25,21,1.65,0,0.0,267,16.80,31,2.35,15,1.13
RS,São Pedro do Butiá,816,37.85,1202,55.75,54,2.5,75,3.48,0,0.0,320,12.59,31,1.39,35,1.58
RS,São Pedro do Sul,4363,43.6,4671,46.68,181,1.81,679,6.79,0,0.0,2263,17.75,263,2.51,219,2.09
RS,São Sebastião do Caí,5029,36.08,7800,55.96,280,2.01,653,4.68,0,0.0,2665,15.56,253,1.75,265,1.83
RS,São Sepé,7563,56.04,4851,35.95,368,2.73,581,4.31,1,0.01,3106,18.22,262,1.88,183,1.31
RS,São Valentim,987,39.1,1405,55.67,37,1.47,79,3.13,0,0.0,480,15.52,49,1.88,39,1.49
RS,São Valentim do Sul,385,21.74,1261,71.2,44,2.48,60,3.39,0,0.0,356,16.12,49,2.65,33,1.78
RS,São Valério do Sul,1068,61.34,613,35.21,30,1.72,25,1.44,0,0.0,477,21.16,10,0.57,26,1.46
RS,São Vendelino,532,27.59,1175,60.94,41,2.13,146,7.57,0,0.0,272,11.92,44,2.19,38,1.89
RS,São Vicente do Sul,2669,50.26,2197,41.37,123,2.32,286,5.39,0,0.0,1670,23.18,128,2.32,97,1.75
RS,Sapiranga,18216,36.85,28177,57.0,1071,2.17,1506,3.05,2,0.0,11008,17.70,904,1.77,844,1.65
RS,Sapucaia do Sul,39368,49.85,32944,41.71,2350,2.98,3380,4.28,15,0.02,23590,22.33,1594,1.94,1483,1.81
RS,Sarandi,4934,35.5,7964,57.31,581,4.18,326,2.35,0,0.0,2488,14.88,194,1.36,139,0.98
RS,Seberi,3248,43.46,3747,50.14,144,1.93,293,3.92,0,0.0,1329,14.75,128,1.67,79,1.03
RS,Sede Nova,968,47.31,929,45.41,24,1.17,113,5.52,0,0.0,305,12.66,23,1.10,35,1.66
RS,Segredo,2111,47.59,1992,44.91,71,1.6,233,5.25,0,0.0,914,16.46,130,2.81,73,1.57
RS,Selbach,1046,28.86,2242,61.85,89,2.46,216,5.96,0,0.0,649,14.83,56,1.50,45,1.21
RS,Senador Salgado Filho,584,26.08,1478,66.01,89,3.97,76,3.39,0,0.0,329,12.57,14,0.61,36,1.57
RS,Sentinela do Sul,1607,49.57,1362,42.01,81,2.5,161,4.97,0,0.0,799,19.04,99,2.91,57,1.68
RS,Serafina Corrêa,2619,25.73,6902,67.81,172,1.69,378,3.71,1,0.01,1862,14.87,240,2.25,239,2.24
RS,Sério,736,44.58,726,43.97,50,3.03,114,6.9,0,0.0,281,14.00,43,2.50,32,1.85
RS,Sertão,1428,34.77,2442,59.46,53,1.29,144,3.51,0,0.0,656,13.39,61,1.44,76,1.79
RS,Sertão Santana,1407,33.42,2458,58.38,112,2.66,200,4.75,0,0.0,989,18.54,79,1.82,57,1.31
RS,Sete de Setembro,741,49.83,636,42.77,52,3.5,55,3.7,0,0.0,258,14.38,31,2.02,18,1.17
RS,Severiano de Almeida,1070,38.46,1445,51.94,102,3.67,149,5.36,0,0.0,530,15.41,74,2.55,53,1.82
RS,Silveira Martins,715,40.37,912,51.5,43,2.43,84,4.74,0,0.0,391,17.53,33,1.80,35,1.90
RS,Sinimbu,2761,47.41,2579,44.28,136,2.34,282,4.84,0,0.0,755,11.10,101,1.67,122,2.02
RS,Sobradinho,3718,42.69,4269,49.02,191,2.19,448,5.14,0,0.0,2334,20.50,192,2.12,151,1.67
RS,Soledade,8637,49.45,7667,43.9,315,1.8,723,4.14,0,0.0,3494,16.23,275,1.53,291,1.61
RS,Tabaí,1424,45.09,1582,50.09,38,1.2,100,3.17,0,0.0,601,15.57,54,1.66,48,1.47
RS,Tapejara,3259,23.21,9687,68.99,354,2.52,585,4.17,1,0.01,2540,14.89,255,1.76,219,1.51
RS,Tapera,2783,42.32,3382,51.43,111,1.69,245,3.73,0,0.0,1196,15.00,98,1.44,105,1.55
RS,Tapes,4279,48.51,3851,43.66,315,3.57,312,3.54,0,0.0,2258,19.77,186,2.03,157,1.71
RS,Taquara,10573,32.79,19323,59.93,821,2.55,1150,3.57,3,0.01,8522,20.32,612,1.83,560,1.68
RS,Taquari,6903,44.08,7731,49.37,343,2.19,551,3.52,0,0.0,3154,16.21,386,2.37,263,1.61
RS,Taquaruçu do Sul,1074,47.08,1067,46.78,37,1.62,94,4.12,0,0.0,341,12.55,56,2.36,40,1.68
RS,Tavares,1596,46.07,1391,40.16,112,3.23,345,9.96,0,0.0,936,20.62,57,1.58,83,2.30
RS,Tenente Portela,4483,53.5,3373,40.26,209,2.49,270,3.22,0,0.0,1800,17.30,107,1.24,121,1.41
RS,Terra de Areia,2291,38.45,3070,51.52,132,2.22,420,7.05,0,0.0,1425,18.74,116,1.88,104,1.68
