muncod,Lula,Padre Kelmon,Sofia Manzano,Constituinte Eymael,Soraya Thronicke,Ciro Gomes,Vera,Simone Tebet,Jair Bolsonaro,Felipe D'Avila,Léo Péricles
mg41815,2028,3,2,1,30,152,1,288,3794,97,0
mg41831,3064,3,1,0,8,151,1,173,1604,39,0
mg41769,1530,6,1,0,12,39,0,84,1414,31,0
mg41858,6318,7,2,2,45,186,0,472,6588,82,1
mg41874,7642,2,5,1,46,290,3,417,5062,101,2
mg41785,1977,2,2,0,7,52,1,139,1736,29,0
mg41890,3724,6,3,0,7,123,0,276,3138,58,2
mg41912,1381,2,1,1,15,77,0,146,1109,20,1
mg41939,2597,6,3,4,39,170,3,456,4092,118,4
mg40533,3231,3,0,0,8,74,0,97,1287,28,0
mg41955,1206,0,0,0,1,36,0,44,528,10,0
mg41971,2756,2,0,1,34,187,1,302,3266,59,1
mg41998,12904,22,7,3,120,921,11,1713,9555,203,11
mg42013,1780,7,0,1,4,66,2,74,1193,27,0
mg42030,2503,1,0,0,5,49,2,82,860,29,0
mg42056,3088,3,2,0,36,160,2,408,4279,109,1
mg42072,1383,0,0,0,7,42,0,69,869,17,1
mg42099,5491,8,6,1,46,224,0,451,6686,110,4
mg42137,3450,9,4,4,43,191,0,344,3227,76,7
mg42110,6242,14,11,3,70,450,0,918,7825,301,8
mg42170,3234,4,6,3,38,161,2,403,5149,78,3
mg42153,1413,2,2,0,3,37,0,49,643,10,0
mg42196,4457,9,4,3,63,316,2,680,6805,166,4
mg42218,5017,13,2,0,30,141,2,331,5048,28,0
mg41807,2135,3,0,1,4,52,0,46,488,12,1
mg42234,11575,16,8,1,104,601,2,1287,14632,238,2
mg42250,4310,2,4,0,16,163,1,167,2643,58,1
mg42277,2647,2,5,0,6,57,1,104,1973,15,1
mg42293,2818,1,3,1,25,129,2,224,3759,66,1
mg42315,6428,7,6,6,74,258,4,508,7413,160,2
mg42374,1850,0,0,0,6,54,0,105,1671,27,0
mg42331,2416,5,3,1,6,79,0,122,709,32,0
mg42390,4020,8,1,1,17,147,0,322,3888,75,1
mg41823,1741,1,1,0,5,42,1,87,563,10,0
mg42358,3921,3,2,1,9,112,1,151,2195,29,0
mg42412,1320,1,1,0,2,82,0,69,1775,29,0
mg42439,2094,3,0,0,12,69,1,160,979,50,1
mg42455,11470,9,7,3,49,499,4,562,7616,163,0
mg42471,1839,3,2,0,12,88,0,154,1853,31,1
mg42498,2589,3,1,0,34,145,1,292,3083,55,3
mg42510,4891,1,0,2,12,125,0,213,3314,57,0
mg40061,1264,1,0,0,3,29,0,83,1224,27,0
mg42536,6269,3,1,1,12,169,1,201,2256,36,1
mg42552,2230,2,0,1,10,103,0,192,3171,51,1
mg42579,3541,3,1,0,19,110,4,130,2138,45,0
mg42617,1396,0,3,0,12,69,0,93,835,40,1
mg42633,8401,11,3,6,36,396,4,566,6309,123,7
mg42650,9422,11,5,3,52,449,3,571,7390,151,7
mg42676,20758,31,12,4,125,1003,4,1467,22135,313,10
mg42595,6720,8,7,1,18,204,1,225,1818,35,3
mg42692,3458,3,2,2,10,140,0,99,1656,28,0
mg42714,1711,1,2,0,16,78,1,165,1869,33,2
mg42730,6409,8,4,0,16,185,2,298,3668,76,0
mg42773,3788,3,6,0,51,147,3,333,2407,93,3
mg42790,4287,2,1,0,26,181,2,340,2550,39,4
mg42811,3448,6,3,1,27,142,2,320,3462,58,6
mg42838,6416,6,5,1,56,407,0,788,6747,108,3
mg42854,5538,5,3,0,37,273,1,484,9356,118,5
mg42870,4816,3,2,1,51,247,1,502,6068,119,2
mg42757,1028,0,3,0,0,28,0,55,567,22,0
mg42897,5274,5,4,5,25,249,2,466,4801,109,0
mg40088,3032,2,0,0,4,63,0,170,2637,29,2
mg42919,1375,2,3,1,22,71,0,122,1032,17,0
mg42951,1520,6,0,0,16,69,1,155,1218,32,1
mg42935,1094,1,0,0,11,27,0,61,1344,18,1
mg42978,920,2,0,0,14,62,0,116,956,21,2
mg42994,1120,2,0,0,6,33,0,93,1328,14,0
mg43052,23298,17,19,6,105,1173,1,1191,13514,242,11
mg41840,2047,2,0,1,18,123,1,219,1202,40,5
mg43079,1913,2,1,0,5,54,0,99,759,33,0
mg40100,4024,3,3,0,7,104,1,120,1114,16,1
mg41866,2221,0,1,0,15,65,0,99,707,27,0
mg43095,6106,9,5,3,37,341,0,636,5246,102,3
mg43117,432,0,0,0,0,14,0,50,390,8,0
mg43133,1956,2,4,0,12,62,1,71,1895,42,1
mg43150,3638,2,1,0,9,86,0,131,1742,23,0
mg43192,2133,1,1,0,4,44,0,60,1764,25,1
mg43214,4354,6,1,2,4,102,1,77,749,44,0
mg41882,4070,0,3,1,4,75,0,162,1917,25,2
mg43230,1179,0,0,0,11,32,0,95,966,20,0
mg43176,1725,3,0,0,12,58,0,90,1070,22,0
mg43257,2362,0,2,1,6,81,1,147,1001,48,0
mg43273,1087,2,0,1,6,43,1,147,2286,31,0
mg43290,3174,0,1,0,11,150,3,185,2045,28,0
mg43311,5357,12,14,2,90,441,4,1013,9597,214,2
mg43338,2999,5,1,5,15,175,2,123,1507,57,5
mg43354,2890,3,1,0,8,102,3,114,1279,20,1
mg43370,874,0,0,0,4,24,0,66,1068,7,1
mg43397,3386,3,3,0,7,69,0,113,805,23,0
mg43419,2894,2,2,0,23,83,2,207,2890,61,2
mg43036,1636,3,2,0,13,58,0,121,1026,30,1
mg43451,8176,6,2,1,17,197,0,365,5793,46,0
mg43435,933,1,0,0,12,61,0,152,829,29,0
mg43478,1830,1,0,0,2,33,0,56,1238,17,1
mg43494,8367,12,5,3,28,278,2,366,3255,86,3
mg43516,1329,1,0,0,12,77,0,161,2249,38,1
mg43532,4281,4,1,1,43,113,0,261,2761,49,0
mg43559,2440,2,3,1,41,224,0,336,3801,76,4
mg41920,2253,3,3,1,26,157,3,218,2649,33,2
mg43575,2602,4,2,0,27,164,2,365,4080,70,2
mg43591,16486,27,6,8,141,987,30,1947,13048,245,14
mg43613,1952,2,1,0,6,56,0,39,561,29,1
mg43630,2070,1,1,0,22,52,1,193,1817,51,0
mg43656,40769,65,38,9,292,2800,18,3768,27796,647,34
mg43672,4790,2,3,2,25,159,3,340,5868,107,3
mg43699,600,0,1,0,9,47,0,52,625,25,0
mg43710,151516,202,172,59,1869,12435,150,18028,171682,3067,261
mg43737,2551,5,2,0,28,112,1,270,2664,49,2
mg43753,10933,3,6,1,24,278,1,406,3200,74,0
mg43770,2914,4,2,0,7,94,0,240,2096,30,2
mg43796,1110,1,0,0,4,28,0,94,799,16,1
mg43818,7866,2,4,3,34,256,3,451,4774,81,0
mg43834,3145,4,3,1,20,96,2,133,1909,44,2
mg43850,7080,5,7,6,51,348,2,872,9176,129,1
mg43877,24069,32,23,8,163,1454,9,1561,31812,415,21
mg43893,3786,0,1,0,8,92,1,75,1066,17,0
mg43915,1247,1,0,0,7,46,1,91,820,16,1
mg43931,1396,4,1,0,10,57,1,112,669,15,1
mg44016,1938,0,0,0,6,69,0,57,477,24,2
mg44032,3007,1,2,1,23,72,2,276,2813,54,0
mg44075,1595,3,0,0,14,91,1,154,1462,37,0
mg44091,2336,1,3,0,31,141,0,273,3102,65,1
mg44059,2467,1,1,0,6,54,0,98,769,12,0
mg41963,2330,0,1,0,4,52,0,73,706,13,1
mg44113,1806,2,0,0,20,93,2,162,1779,51,0
mg44130,1319,1,1,0,8,42,0,116,1580,21,0
mg44156,5206,4,2,1,31,281,4,299,3622,68,3
mg41980,1083,0,1,0,7,41,0,54,1564,29,0
mg42005,2580,2,0,4,18,93,0,111,1560,26,0
mg44172,22169,26,10,8,156,1026,4,1932,17903,353,12
mg43010,4609,4,3,0,24,276,3,370,4566,88,7
mg43958,1016,0,1,0,3,27,0,71,1050,25,0
mg43974,1290,2,1,1,15,69,0,186,1484,37,1
mg41947,1598,5,0,0,28,121,0,317,1897,46,1
mg43990,1657,0,3,0,0,29,0,45,813,24,2
mg41904,3391,2,0,1,8,128,0,101,564,23,0
mg44199,2603,4,1,0,8,85,0,83,678,26,1
mg44210,2107,3,3,1,32,109,2,255,2483,36,0
mg44237,1947,1,0,0,8,77,1,158,2152,39,0
mg42021,3125,1,1,0,15,80,1,117,1731,24,1
mg44253,1943,5,1,1,8,135,0,125,1160,32,1
mg44270,1718,2,1,0,21,166,3,229,2336,46,0
mg44296,1496,2,0,0,6,102,0,128,1066,29,2
mg44318,17923,10,20,2,61,834,7,898,7167,155,7
mg44334,2089,2,0,0,9,71,2,63,524,32,1
mg44350,2686,5,0,1,10,80,0,112,1701,19,0
mg44393,6492,10,1,0,25,196,1,213,4288,63,1
mg44415,1475,1,0,1,8,64,0,64,1392,27,2
mg44431,2310,0,4,0,10,71,1,103,1372,32,0
mg44377,2381,3,1,0,19,61,0,101,939,21,0
mg44458,56562,101,45,14,466,3735,22,5935,65668,1077,53
mg40126,2248,1,0,0,6,98,1,107,1141,22,1
mg44474,1901,3,0,1,10,71,0,133,1596,24,1
mg40142,3141,1,1,0,11,105,0,67,1387,57,3
mg42048,1219,3,0,0,5,32,0,59,1307,17,0
mg44490,1473,2,1,0,2,59,0,60,1555,20,0
mg44512,1807,3,3,0,5,62,1,82,843,15,1
mg44539,2124,2,8,0,11,66,1,135,872,44,1
mg44555,1039,1,1,0,7,52,0,94,1099,32,0
mg44571,2457,0,0,0,9,78,0,99,1848,27,2
mg44598,2952,6,4,4,19,152,2,362,2695,48,3
mg44610,2174,2,1,0,10,52,0,83,1103,28,0
mg44636,3035,3,8,1,18,146,0,324,4145,57,2
mg44652,2333,0,1,0,10,94,0,112,1206,37,0
mg44679,681,1,0,0,1,34,1,44,726,8,0
mg44695,885,1,0,0,3,37,0,82,567,13,0
mg40169,2740,3,0,3,18,58,0,135,1825,28,0
mg44717,5835,10,6,3,64,304,1,644,8197,175,6
mg44733,2664,3,2,4,8,68,1,124,2241,33,1
mg44750,3105,2,2,1,1,86,1,96,1006,23,0
mg40185,2181,2,2,0,7,57,1,80,1870,27,0
mg44776,5116,4,6,0,34,327,1,522,3389,76,2
mg44792,7731,13,7,0,54,304,0,310,3251,105,3
mg44814,20127,20,12,2,214,948,9,1673,15575,222,23
mg44830,6857,5,3,1,25,270,2,290,5661,83,1
mg44857,11336,6,4,2,24,307,3,415,5243,80,5
mg44873,1908,2,0,0,21,63,1,164,1718,45,2
mg44890,3016,4,5,1,39,198,4,374,3541,73,3
mg44911,1275,0,3,1,7,21,0,66,678,23,0
mg44938,988,2,2,0,4,48,0,76,929,17,0
mg44954,2497,3,1,0,9,74,1,105,1545,24,0
mg44970,3482,5,4,2,24,116,0,155,3120,46,3
mg44997,2228,1,0,0,4,44,1,78,953,15,0
mg45012,11200,17,8,8,131,692,4,1210,13154,310,19
mg45039,1082,3,0,0,13,28,0,61,1090,11,1
mg45055,1494,6,1,0,6,46,0,64,819,15,0
mg45110,2498,1,1,2,12,105,1,85,825,22,0
mg45136,4686,5,2,0,29,170,4,440,2890,63,0
mg45071,1898,3,1,2,10,73,1,198,908,38,1
mg45152,890,0,1,1,3,25,1,41,830,37,0
mg45179,3847,5,2,2,15,104,1,187,1573,53,0
mg40207,3598,3,0,3,28,134,0,116,2310,45,0
mg45195,2436,3,2,0,31,184,2,236,2086,40,5
mg45217,14754,29,12,5,190,1311,8,2224,21644,388,15
mg45233,2632,2,0,0,1,97,0,88,1430,23,1
mg45250,920,1,3,0,8,64,0,95,1088,14,0
mg45276,1330,2,0,0,2,43,1,80,719,12,3
mg45292,3024,4,1,0,8,79,1,141,1023,35,1
mg45314,1813,2,0,0,3,94,0,75,974,18,1
mg45330,9788,5,4,3,22,223,3,317,3222,85,1
mg40223,2233,1,1,0,2,48,0,79,819,17,0
mg45357,2475,1,3,0,0,46,0,61,1052,38,1
mg45373,2694,0,0,0,5,78,1,139,1796,33,0
mg42064,1623,0,1,2,5,57,1,54,668,21,0
mg45390,4099,3,1,0,18,117,2,155,3218,35,1
mg49352,2156,2,1,1,1,63,0,70,538,21,1
mg42080,2254,6,0,0,4,52,0,58,507,21,0
mg45411,12801,17,9,4,92,523,0,957,15115,166,14
mg45438,1645,2,1,1,13,75,0,239,1704,18,1
mg45454,1824,2,1,0,8,43,0,54,1677,12,0
mg42102,2249,2,1,0,5,58,1,62,941,31,1
mg42129,2132,0,0,1,6,57,0,73,744,11,0
mg42145,903,0,0,0,5,24,2,61,1138,32,0
mg42161,1651,4,0,1,11,78,0,104,1236,22,0
mg45497,1716,5,0,0,4,61,0,108,987,41,2
mg45470,987,4,0,1,18,83,0,185,1523,41,0
mg45519,5053,5,2,3,20,154,2,275,1878,34,3
mg45535,53339,84,47,18,415,2771,28,4452,84540,958,57
mg45578,596,0,0,0,5,16,0,42,574,12,1
mg45551,5697,7,2,1,12,162,2,176,1759,52,1
mg45594,8763,12,7,0,52,380,5,560,6333,143,6
mg45616,2881,4,2,2,17,121,0,230,4537,80,1
mg45632,4002,5,6,0,31,149,1,166,1431,72,3
mg42188,3102,2,2,0,6,75,1,61,546,18,1
mg45675,3405,7,0,1,7,89,0,161,1538,27,2
mg45659,6312,2,4,2,24,262,1,421,4027,78,6
mg45691,1425,2,1,0,6,68,0,99,1042,12,1
mg45713,2025,2,0,1,18,45,3,139,1957,23,1
mg45730,13672,12,4,8,94,659,5,1295,12288,269,5
mg45756,2975,2,1,0,26,104,2,144,1704,43,0
mg45772,2281,5,0,3,12,72,0,273,2382,28,2
mg45799,3398,4,1,0,13,111,3,158,1837,36,1
mg45810,1683,1,0,0,4,51,0,157,1620,16,1
mg45837,2078,4,1,2,20,100,1,259,1481,32,2
mg45853,2817,6,2,0,11,80,1,118,2883,32,3
mg45870,2595,2,5,0,13,53,2,137,869,20,0
mg45918,3233,0,0,0,9,82,0,95,862,15,3
mg42200,2916,2,0,0,10,55,1,102,710,16,0
mg45934,2836,6,1,1,15,100,4,198,3637,34,0
mg45950,46074,53,28,18,601,2605,28,4171,41359,696,87
mg45977,711,4,0,0,10,31,1,78,1649,33,0
mg45993,949,1,0,0,9,38,0,101,784,21,1
mg45896,6019,5,2,1,42,200,0,412,5317,91,5
mg40240,4313,0,1,2,2,113,0,89,1505,19,0
mg46019,10933,15,6,3,135,622,1,1074,10839,189,8
mg46035,2678,1,5,0,13,88,1,209,3191,46,1
mg46051,2573,3,0,1,13,64,0,160,1932,44,2
mg46078,2006,5,0,0,27,123,1,318,1689,36,0
mg46094,3793,7,1,0,13,142,1,198,3241,50,2
mg42226,2383,4,0,0,11,56,0,95,1507,20,0
mg46116,2083,2,0,0,16,104,0,205,2458,43,1
mg42242,2192,2,1,0,18,59,0,80,1561,42,0
mg46132,2042,4,2,0,8,58,1,83,1537,15,2
mg46159,1148,3,2,0,2,51,0,95,718,16,0
mg46175,6498,7,2,4,42,215,0,330,7134,108,4
mg46191,2215,4,0,0,13,81,0,194,1843,29,0
mg46213,2784,2,0,1,13,85,0,150,1527,32,1
mg40266,4752,5,5,0,25,191,2,198,4501,51,3
mg46230,5372,9,2,2,19,206,1,244,5008,72,3
mg46256,45297,76,66,8,436,3128,22,4262,79427,949,43
mg46272,1606,1,0,0,1,35,1,73,892,15,0
mg46299,2641,0,2,0,22,116,1,245,3003,53,1
mg46310,2218,1,0,1,6,53,0,106,2393,17,0
mg46337,35025,61,39,12,311,2174,21,4461,27203,492,28
mg46353,3009,0,0,0,13,85,0,150,2664,48,1
mg46370,16176,29,11,6,146,1260,4,2225,12009,274,36
mg46396,2624,1,0,0,11,57,0,93,581,22,0
mg46418,6166,5,2,1,14,176,1,131,2292,32,3
mg46434,3502,9,3,0,37,320,2,492,3602,108,1
mg46450,3743,2,1,0,15,87,1,198,1534,51,1
mg46477,17695,39,33,6,239,1365,24,2793,31321,644,21
mg46493,10799,13,6,1,58,445,3,526,5899,113,2
mg46515,1709,0,0,0,9,67,0,66,937,21,0
mg46531,7693,8,4,1,13,206,0,176,3338,74,3
mg46558,1221,0,0,0,2,31,0,116,501,26,1
mg46574,2982,5,2,2,25,98,0,268,3225,64,1
mg46590,3371,10,2,0,29,210,2,386,4854,119,2
mg46612,4072,3,3,0,42,280,0,524,4431,101,1
mg46639,3565,5,0,0,13,93,0,144,2607,40,3
mg46655,6506,12,2,2,15,231,3,207,4077,32,1
mg46671,3417,8,1,0,18,132,4,363,3663,37,0
mg46698,7222,10,3,0,44,314,2,538,5360,126,2
mg46710,2255,5,0,1,20,112,0,245,3469,61,1
mg46736,3008,10,2,1,21,191,1,271,4210,61,4
mg46779,2591,4,2,1,12,98,0,156,1400,54,1
mg54453,3419,6,3,2,47,219,1,495,4608,83,1
mg46752,17554,33,15,13,238,1579,11,2453,31636,472,41
mg46795,5667,8,1,0,6,81,1,87,1445,25,7
mg46817,1287,4,1,0,9,39,0,89,2158,23,2
mg46833,31282,23,12,6,124,1131,4,1929,21868,323,9
mg46850,2304,3,2,1,21,103,3,277,1660,46,1
mg46876,11617,4,6,1,30,306,1,560,9239,125,1
mg46892,1716,3,0,0,11,70,0,107,907,14,1
mg46914,5715,5,4,0,53,285,0,619,4555,96,3
mg46930,4028,6,2,0,9,106,0,135,1866,25,0
mg46973,3682,19,7,1,55,304,1,503,9293,154,1
mg46957,1221,2,1,0,17,108,1,207,2820,52,0
mg46990,1110,2,1,1,7,35,0,66,1161,17,0
mg40304,1996,3,0,0,1,46,0,43,781,29,1
mg47015,21150,18,5,4,79,762,1,1057,15529,193,4
mg47031,24868,11,7,4,51,818,5,700,7199,198,4
mg47058,1241,3,1,1,9,58,0,200,1225,36,2
mg42269,4519,1,2,0,4,86,0,183,989,19,1
mg40282,11109,9,3,1,31,252,1,322,6511,80,1
mg47074,2708,4,0,0,9,106,0,247,1467,23,0
mg42285,2556,4,0,0,2,66,0,78,767,17,0
mg47090,4797,7,2,1,16,126,1,203,1930,50,1
mg47112,3006,1,1,0,7,87,0,112,1021,23,1
mg47139,2092,2,1,2,14,71,2,239,1930,26,2
mg47155,8828,6,2,4,20,219,1,174,2462,49,4
mg47171,1402,6,1,0,23,56,0,152,1477,28,0
mg47210,1857,1,1,0,20,60,0,118,1287,19,0
mg47279,1310,1,0,0,8,51,1,96,854,29,0
mg47198,5103,2,3,0,6,133,0,101,1433,23,3
mg47295,3128,4,1,1,6,85,1,108,1694,11,2
mg40924,1554,1,0,0,0,42,0,35,475,7,0
mg42307,1740,0,1,0,10,86,0,49,563,23,0
mg42323,1650,1,2,0,6,48,0,77,826,17,1
mg47236,21601,31,16,11,187,1395,16,2105,19501,374,27
mg47252,12791,10,3,3,66,424,3,739,13036,143,3
mg40320,8171,10,11,2,87,489,7,747,7538,104,20
mg47333,167048,306,164,43,1045,10347,120,13447,121945,2781,212
mg47350,2366,1,0,0,13,51,0,101,930,17,0
mg47376,2633,5,2,3,19,169,0,300,3907,57,1
mg40940,2438,2,1,1,8,44,0,86,1049,21,0
mg47392,5187,13,5,0,28,120,0,152,1640,68,2
mg47414,2125,3,0,1,11,71,1,215,2369,15,0
mg47430,10022,15,6,4,87,689,4,1048,14777,294,9
mg47457,1524,0,1,0,5,36,0,64,836,19,0
mg47473,3756,7,4,4,49,221,1,377,3466,51,3
mg47490,4961,8,0,5,39,218,1,577,5598,74,1
mg40347,3137,3,0,0,15,97,0,133,2159,30,0
mg47511,13752,29,17,10,149,1134,5,1948,20728,325,31
mg47538,5568,6,2,0,18,162,2,231,5529,61,0
mg47554,4533,8,5,3,45,250,5,486,7218,119,2
mg47570,1907,1,0,0,2,72,0,57,580,24,0
mg47597,2179,2,2,4,5,66,1,77,1996,27,1
mg47619,2577,0,1,0,4,82,0,92,1224,26,4
mg47635,25243,40,32,12,283,1658,23,2987,24450,554,33
mg47651,1063,3,0,0,10,63,0,84,1285,24,0
mg40967,1980,1,0,0,3,69,0,82,620,19,0
mg47678,17698,13,12,4,91,833,4,897,10855,181,12
mg47694,1953,6,1,1,34,100,0,155,956,38,1
mg47716,7229,7,6,0,25,223,3,381,2717,95,2
mg40363,2666,1,1,0,4,45,0,121,1964,21,1
mg40380,4112,1,1,0,8,95,0,152,1247,31,0
mg40983,1647,1,1,0,17,121,3,166,2227,30,0
mg41009,3633,1,2,3,3,73,0,59,676,18,1
mg47732,1863,2,2,0,16,83,0,156,1250,40,0
mg47759,4330,5,4,2,25,192,0,327,5320,71,3
mg47775,2654,4,1,0,9,52,0,86,1385,28,3
mg47791,8372,10,7,3,88,442,2,804,12612,204,4
mg47813,1989,3,2,3,20,59,0,155,1143,27,2
mg47830,6271,0,1,3,14,153,0,260,2933,87,1
mg40401,3049,2,0,0,8,120,0,97,1190,48,0
mg47856,6995,4,0,1,19,219,3,153,3358,41,3
mg47872,19359,26,10,11,125,998,2,1390,22500,341,8
mg47899,5988,7,3,0,27,320,1,366,5531,97,3
mg47910,5663,7,3,3,37,272,1,376,7830,110,5
mg47953,3959,3,3,2,36,188,1,244,3369,76,3
mg47937,2147,2,2,0,16,94,1,246,2501,35,1
mg47970,3326,10,4,1,52,223,2,573,5257,87,0
mg47996,25076,30,16,4,155,1193,33,1374,9949,257,26
mg48011,1924,1,1,0,3,42,5,61,885,27,0
mg48038,1113,4,3,0,2,59,1,50,1049,21,1
mg48054,1642,2,1,0,5,92,0,111,1377,20,0
mg48070,1019,1,0,0,11,63,0,127,1005,19,0
mg48097,3167,9,0,0,46,159,0,340,4384,55,2
mg41041,3185,4,3,1,13,85,1,104,2388,32,1
mg40428,2780,3,1,0,18,82,0,119,1801,56,0
mg48119,1955,2,1,0,2,42,1,53,503,21,0
mg48135,9045,9,5,3,116,504,6,938,8957,150,8
mg54313,1410,0,1,0,4,23,0,26,811,16,0
mg48151,4975,3,2,4,23,188,0,323,3603,48,1
mg40444,3428,2,1,0,7,85,1,105,1209,29,2
mg48178,5890,6,5,4,23,136,1,219,4403,58,0
mg48194,5058,4,3,0,17,121,0,179,2757,69,1
mg48216,10803,6,14,0,105,583,3,1247,9629,164,6
mg48232,1123,5,0,0,6,67,1,61,1096,30,0
mg48259,897,2,1,1,6,43,0,93,1276,18,0
mg48275,7400,3,5,0,19,142,1,198,3111,38,3
mg48291,1886,1,1,0,9,57,0,156,1383,33,0
mg48313,4165,4,2,0,14,147,0,237,1824,27,0
mg48330,1884,0,0,3,7,71,0,119,1512,15,0
mg48356,9977,6,1,0,21,215,2,203,2437,112,2
mg48372,1256,4,0,0,7,66,0,79,1048,14,0
mg48399,5721,3,0,0,13,175,0,175,2039,36,2
mg48410,3597,10,3,3,16,105,0,140,2312,31,1
mg41068,1833,1,0,0,3,46,0,57,506,13,1
mg48437,3656,2,2,0,15,155,0,216,3620,64,1
mg48453,1867,3,2,2,17,114,1,208,1761,37,1
mg48470,2193,4,0,0,12,113,0,212,2355,42,0
mg48496,981,1,0,0,6,29,0,44,468,8,0
mg48518,2503,0,2,1,25,83,0,222,2281,43,0
mg48534,5839,1,3,0,19,147,2,177,2283,37,2
mg48550,5656,4,2,0,49,159,0,376,4347,98,1
mg48577,7832,5,2,1,29,191,2,293,4657,101,1
mg48593,3889,4,1,0,18,190,0,345,3539,79,1
mg48615,13695,17,6,3,89,418,10,1013,11325,197,4
mg41084,1976,3,1,0,8,59,1,67,532,27,0
mg48631,5237,10,2,1,41,318,4,541,5608,129,6
mg48674,3246,10,7,1,57,219,1,445,9824,167,5
mg48658,103694,95,56,27,670,6368,27,9947,99858,1576,64
mg40460,2587,0,0,0,20,121,0,132,1060,33,1
mg48690,2360,1,1,0,7,102,2,125,2565,31,1
mg48712,1414,2,0,1,3,41,0,55,515,14,1
mg48739,1746,0,1,0,8,55,0,74,660,13,1
mg48755,2023,4,1,0,11,71,0,147,2183,37,0
mg48771,27340,63,19,15,158,1393,12,1646,28731,391,14
mg48798,7472,5,5,0,26,228,2,365,7613,84,1
mg48810,5789,7,2,3,72,295,1,506,6591,116,1
mg41025,4270,12,1,3,43,264,2,404,4297,62,8
mg48836,1119,4,0,0,1,22,0,36,512,11,0
mg48852,9662,9,6,1,30,280,2,499,9124,77,1
mg40487,2186,3,1,0,10,43,1,85,1491,19,0
mg41106,1430,0,0,0,10,36,0,48,789,15,3
mg48879,1052,2,1,0,15,84,1,216,1578,47,1
mg48895,3193,3,1,0,10,113,1,210,1464,35,0
mg48917,6925,9,2,1,77,330,1,645,6868,166,2
mg41122,3306,2,2,2,23,146,0,229,1381,57,0
mg41149,1347,2,0,0,5,28,0,60,1007,27,0
mg48933,6130,5,4,2,34,310,3,489,3856,77,8
mg48950,27956,30,22,11,241,2051,26,3605,24108,634,42
mg48976,1493,0,0,0,9,32,1,84,833,27,1
mg48992,4414,2,2,0,23,157,0,254,4276,39,1
mg41165,2870,2,0,1,6,87,1,99,1431,14,0
mg49018,3912,8,1,3,22,150,0,482,5169,80,1
mg49034,12729,16,8,8,93,1125,5,1103,31098,348,10
mg47317,2309,3,0,0,22,114,0,177,1354,21,0
mg49050,10489,9,5,0,19,277,1,207,2891,86,3
mg40509,3836,10,3,0,12,101,1,91,1334,63,1
mg41181,1921,0,0,0,6,68,1,93,1084,34,0
mg49077,1116,2,1,0,4,32,0,57,470,21,1
mg41203,2811,0,1,0,7,52,1,96,780,15,0
mg49115,11995,17,4,4,108,814,5,1326,10656,230,4
mg49131,1363,1,0,0,3,53,0,57,447,12,3
mg49093,1178,2,0,0,3,43,0,76,652,21,1
mg49158,1014,1,1,1,13,39,1,118,1378,11,0
mg41220,2440,3,0,0,7,82,1,69,671,10,0
mg41246,2648,1,1,0,11,110,3,99,1881,31,2
mg49174,11997,11,9,3,99,824,4,1035,10053,253,22
mg49190,5688,10,10,3,78,457,7,949,10885,261,3
mg49212,32572,27,35,7,193,1544,17,1903,12345,300,36
mg49239,2882,2,2,0,14,74,0,57,1712,52,0
mg41262,2098,0,1,0,4,47,0,40,776,22,3
mg49255,5254,7,3,0,18,168,2,229,3033,64,3
mg41289,2774,1,0,0,5,59,0,71,754,29,1
mg49271,1826,0,0,1,7,68,0,152,1057,11,2
mg49298,2421,3,1,1,14,95,1,195,2476,34,1
mg49310,852,0,0,0,1,44,1,60,372,5,0
mg49336,2531,2,2,1,7,70,0,82,1288,23,3
mg40525,2737,6,3,0,7,81,0,125,848,12,2
mg49379,4566,5,1,0,19,139,1,305,4107,49,1
mg49395,20380,32,18,6,113,978,6,1771,25202,280,8
mg49433,5558,2,1,3,60,285,2,434,6136,118,2
mg49450,4560,8,7,0,84,376,5,732,6252,135,3
mg49476,7049,18,1,1,58,320,0,645,7292,103,4
mg49417,16698,31,25,3,266,1434,13,2736,27692,499,14
mg49514,5024,1,2,2,46,217,0,560,4147,78,1
mg49530,3029,2,1,3,29,135,0,201,1920,38,2
mg49557,928,2,1,0,2,67,0,89,729,14,0
mg49492,813,3,1,0,1,43,1,63,416,13,0
mg49573,26594,33,14,5,174,1401,4,2507,27878,520,17
mg41300,2976,0,0,0,5,65,0,65,610,4,0
mg49590,28983,47,31,12,287,2058,20,4257,47758,651,28
mg49611,19008,52,22,44,234,1246,8,2028,27014,515,17
mg49638,2186,2,0,0,7,99,0,85,1554,24,0
mg49654,3971,1,7,0,25,109,0,185,1369,47,3
mg49670,2207,0,1,0,9,70,0,75,444,17,0
mg49697,2848,3,1,0,12,55,0,71,1193,27,0
mg49735,6768,8,6,4,19,188,1,285,4091,76,2
mg41327,2148,1,0,0,12,76,0,104,2163,26,1
mg49751,1793,2,1,2,3,72,0,70,616,25,0
mg49778,1122,5,0,1,9,55,0,136,1414,27,0
mg49794,1262,2,0,2,9,46,0,85,740,18,0
mg49816,2808,7,3,0,44,192,0,363,3491,74,2
mg40541,3983,0,0,0,2,87,0,60,1046,16,0
mg49832,1161,1,1,0,10,26,0,94,1108,31,0
mg49859,15871,20,9,4,178,1153,6,2071,17728,291,13
mg49875,1407,3,0,0,8,50,0,82,363,17,1
