muncod,Lula,Padre Kelmon,Sofia Manzano,Constituinte Eymael,Soraya Thronicke,Ciro Gomes,Vera,Simone Tebet,Jair Bolsonaro,Felipe D'Avila,Léo Péricles
rn16756,4771,2,1,2,11,215,2,87,1428,3,0
rn16772,1778,1,0,0,3,60,0,22,350,5,0
rn17515,2653,0,0,0,1,90,0,22,475,5,0
rn16799,1162,1,0,2,4,52,0,35,825,0,0
rn16810,10356,5,4,0,24,505,1,309,5228,16,1
rn16837,7190,6,5,0,24,410,1,73,1669,7,2
rn16853,4924,3,1,1,5,321,2,40,1946,3,3
rn16870,7950,1,0,5,25,486,5,196,3048,8,0
rn16896,5877,6,0,0,24,214,1,187,2470,3,3
rn16918,8060,6,0,1,14,234,1,79,1632,5,0
rn16934,1289,1,0,0,3,60,0,33,304,1,1
rn16080,3661,4,1,0,7,164,0,38,1255,4,1
rn16950,2984,1,1,0,0,147,1,35,744,2,0
rn16993,3289,0,0,0,8,143,0,38,1151,9,0
rn17019,2802,1,1,0,4,66,1,14,579,2,1
rn17051,3445,3,0,1,5,134,0,41,631,1,0
rn17078,1785,0,0,0,8,113,0,26,450,1,0
rn17094,6980,4,4,0,13,281,2,65,1267,5,1
rn17116,5296,10,1,0,11,280,0,145,2238,7,2
rn16977,3478,3,2,0,7,146,1,79,964,3,1
rn17175,3446,1,1,1,0,114,0,23,485,2,0
rn17132,14498,9,6,1,58,708,2,220,4982,7,1
rn17159,1887,1,0,0,3,97,0,9,368,0,0
rn17191,8806,9,5,2,10,339,0,142,2836,23,1
rn16306,2176,1,2,1,9,83,0,104,950,1,1
rn17230,3345,0,1,0,7,123,0,59,877,1,0
rn17256,4197,4,3,1,11,184,4,96,1129,8,0
rn17272,1644,1,0,0,5,67,0,59,724,0,0
rn17299,6702,2,2,1,16,270,0,191,2031,8,2
rn17310,5063,2,2,0,20,194,2,178,1662,5,1
rn17337,5079,3,0,2,21,295,0,90,1474,5,0
rn17353,2826,0,0,4,5,155,1,49,1055,0,0
rn17370,2300,0,0,1,3,96,0,13,404,4,0
rn17396,4712,1,1,0,4,142,0,50,622,2,1
rn17434,12746,6,3,2,30,611,3,238,3193,25,5
rn17418,25896,15,5,2,131,1053,6,1030,13369,43,8
rn16160,2024,0,0,0,1,79,0,24,356,0,0
rn17450,4655,2,3,0,5,130,0,36,608,2,1
rn17477,4040,1,1,0,13,172,0,78,1077,2,1
rn17493,4925,1,2,0,17,188,2,136,2139,5,1
rn17213,2687,1,1,0,2,82,2,31,884,3,0
rn17531,5307,4,0,1,10,250,1,59,1366,2,4
rn17558,8161,6,3,2,35,334,0,311,4344,6,2
rn17574,1498,1,0,0,6,38,0,54,578,0,0
rn17590,88081,54,47,22,220,6712,21,2442,46378,214,54
rn17612,225529,221,226,67,1236,18474,164,13350,188942,1245,275
rn17655,13405,12,4,2,28,527,2,409,5748,19,1
rn17639,9763,9,2,2,43,313,1,359,6200,18,2
rn17671,2712,2,3,1,10,127,0,33,501,6,1
rn17698,2565,3,1,1,5,103,0,49,770,1,0
rn17710,2726,4,1,2,6,71,0,27,297,1,0
rn17752,2834,1,0,0,9,120,0,42,1040,1,1
rn17736,2515,1,0,0,10,119,0,41,811,8,0
rn17779,7839,10,2,2,39,612,7,293,4658,13,4
rn17795,48084,50,53,19,350,4583,29,2849,53530,339,50
rn17817,4645,4,0,0,13,283,1,107,2187,8,1
rn17833,1836,0,0,0,4,96,2,43,960,6,0
rn17850,5652,3,3,0,3,260,1,89,1630,5,2
